Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	DIA_1_S5-B1_1_12203.d	DIA_2_S5-C1_1_12204.d	DIA_3_S5-D1_1_12205.d	DIA_4_S5-E1_1_12206.d	DIA_5_S5-F1_1_12207.d	DIA_6_S5-G1_1_12208.d	DIA_7_S5-A2_1_12209.d	DIA_8_S5-B2_1_12210.d	DIA_9_S5-C2_1_12211.d	DIA_10_S5-D2_1_12212.d	DIA_11_S5-E2_1_12213.d	DIA_12_S5-F2_1_12214.d	DIA_13_S5-G2_1_12215.d	DIA_14_S5-A3_1_12216.d	DIA_15_S5-B3_1_12217.d	DIA_16_S5-C3_1_12218.d	DIA_17_S5-D3_1_12219.d	DIA_18_S5-E3_1_12220.d	DIA_19_S5-F3_1_12221.d	DIA_20_S5-G3_1_12222.d	DIA_21_S5-A4_1_12223.d	DIA_22_S5-B4_1_12224.d	DIA_23_S5-C4_1_12225.d	DIA_24_S5-D4_1_12226.d	DIA_25_S5-E4_1_12227.d	DIA_26_S5-F4_1_12228.d	DIA_27_S5-G4_1_12229.d	DIA_28_S5-A5_1_12230.d	DIA_29_S5-B5_1_12231.d	DIA_30_S5-C5_1_12232.d	DIA_31_S5-D5_1_12233.d	DIA_32_S5-E5_1_12234.d	DIA_33_S5-F5_1_12235.d	DIA_34_S5-G5_1_12236.d	DIA_35_S5-A6_1_12237.d	DIA_36_S5-B6_1_12238.d	DIA_37_S5-C6_1_12239.d	DIA_38_S5-D6_1_12240.d	DIA_39_S5-E6_1_12241.d	DIA_40_S5-F6_1_12242.d	DIA_41_S5-G6_1_12243.d	DIA_42_S5-A7_1_12244.d	DIA_43_S5-B7_1_12245.d	DIA_44_S5-C7_1_12246.d	DIA_45_S5-D7_1_12247.d	DIA_46_S5-E7_1_12248.d	DIA_47_S5-F7_1_12249.d	DIA_48_S6-B1_1_12252.d	DIA_49_S6-C1_1_12253.d	DIA_50_S6-D1_1_12254.d	DIA_51_S6-E1_1_12255.d	DIA_52_S6-F1_1_12256.d	DIA_53_S6-G1_1_12257.d	DIA_54_S6-A2_1_12258.d	DIA_55_S6-B2_1_12259.d	DIA_56_S6-C2_1_12260.d	DIA_57_S6-D2_1_12261.d	DIA_58_S6-E2_1_12262.d	DIA_59_S6-F2_1_12263.d	DIA_60_S6-G2_1_12264.d	DIA_61_S6-A3_1_12265.d	DIA_62_S6-B3_1_12266.d	DIA_63_S6-C3_1_12267.d	DIA_64_S6-D3_1_12268.d	DIA_65_S6-E3_1_12269.d	DIA_66_S6-F3_1_12270.d	DIA_67_S6-G3_1_12271.d	DIA_68_S6-A4_1_12272.d	DIA_69_S6-B4_1_12273.d	DIA_70_S6-C4_1_12274.d	DIA_71_S6-D4_1_12275.d	DIA_72_S6-E4_1_12276.d	DIA_73_S6-F4_1_12277.d	DIA_74_S6-G4_1_12278.d	DIA_75_S6-A5_1_12279.d	DIA_76_S6-B5_1_12280.d	DIA_77_S6-C5_1_12281.d	DIA_78_S6-D5_1_12282.d	DIA_79_S6-E5_1_12283.d	DIA_80_S6-F5_1_12284.d	DIA_81_S6-G5_1_12285.d	DIA_82_S6-A6_1_12286.d	DIA_83_S6-B6_1_12287.d	DIA_84_S6-C6_1_12288.d	DIA_85_S6-D6_1_12289.d	DIA_86_S6-E6_1_12290.d	DIA_87_S6-F6_1_12291.d	DIA_88_S6-G6_1_12292.d	DIA_89_S6-A7_1_12293.d	DIA_90_S6-B7_1_12294.d	DIA_91_S6-C7_1_12295.d	DIA_92_S6-D7_1_12296.d	DIA_93_S6-E7_1_12297.d	DIA_94_S6-F7_1_12298.d	DIA_95_S6-G7_1_12299.d	DIA_96_S6-A8_1_12300.d	DIA_97_S6-B8_1_12301.d	DIA_98_S6-C8_1_12302.d	DIA_Pool1_S5-A1_1_12202.d	DIA_Pool2_S5-G7_1_12250.d	DIA_Pool3_S6-A1_1_12251.d	DIA_Pool4_S6-D8_1_12303.d
Q8NDV1	Q8NDV1	SIA7C_HUMAN	ST6GALNAC3	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"	63355.5	68877.8	68438	71370.6	129668	57982.3	54423.4	56728.6	152027	86337.7	64596.1	33799.8	71268.6	115024	54932.1	86796.6	110822	145596	111440	57780.1	39879	32982.4	159764	161238	70091.4	177044	80615.5	77818.8	182133	167854	94288.8	59390.1	76704.7	57850.7	3250.51	49732.6	88990.2	129988	98094.7	107763	41774.5	100601	174820	51014.4	92545.5	36439.9	55085.4	73157.3	111487	112304	81659	58994.2	61405.2		56711.3	60153.7	79203.4	69316.8	76769.2	69846	54509.6	74990.8	60358	51350.4	58278.3	54576.4	68113.7	62537	49902.9	60508.7	50706.2	103013	68462	124993	40598.7	34545.4	20442.5	62145.5	73631	48007	66989	46191.9	54397	49601.1	57814.9	75458.9	93117.6	72001.6	69938.2	36847.6	66433.8	42222.4	82632.6	18477.3	99751.9	37396	87513.6	73092	68477.2	65390.8	69451.1	51676.8
Q8NE71	Q8NE71	ABCF1_HUMAN	ABCF1	ATP-binding cassette sub-family F member 1		1788.59				2589.44		685.962	910.465				259.213		1916.49	437.273		1003.6	217.367	2008.77	1473.21				1587.14	360.815	551.452	1736.77	1574.13	881.079		722.325				1773.72	642.134			564.488	609.468		776.826	283.38				901.959	1451.49	1222.93	551.591	385.996	1913.59		3648.18	810.619			2214.5	388.944	1392.01		1763.46	3183.87	1268.78		2559.76	774.961	1050.95		934.458	450.352	1653.75	376.791		383.547				1580.98	1127.83	425.371	779.477		1382.93	700.586	1841.64		421.116	1437.29	801.819	4179.25			409.898	883.716	920.963	1740.87		754.588	874.078	1098.19
Q8NEU8	Q8NEU8	DP13B_HUMAN	APPL2	DCC-interacting protein 13-beta		480.759				2041.26		454.263	547.101				173.654		677.624	1023.43		853.405		626.215	521.598					1992.41		1587.49				753.893																	311.986	883.844			550.48		2534.82					531.623	481.674		586.236				1649.36						280.869			835.45		1223.65	1318.8		936.175						618.053			912.742	1097.76	1140.98						931.526	1030.32			301.389
Q8NEY1	Q8NEY1	NAV1_HUMAN	NAV1	Neuron navigator 1	34381.4	46156.5	41784	53619.9	83718.7	33823.6	27541.4	41272.7	31541.5	57715.8	33626.4	49460.7	45883.1	67883.4	42063.3	31385	33159.3	36614.6	25724.2	43910.9	70767.9	49678	42767.2	53335.3	44146.1	36816.4	41929	42380.8	54338.9	37156.3	138410	33883.4	49214.2	39707.1	52928.3	37147.3	41110.5	50485.8	68508.7	33689.8	28009.1	54238.9	63433.9	43554.7	65644.3	42988.6	50421.3	41938	59884.5	42702.2	59943.5	41500.8	91131.6		37702	39081.2	35413.6	49703.4	52416.3	54396.8	41778.8	51859.3	43768.6	41668.7	42134.1	48709.1	51349.7	64954.4	53040.7	45323.2	53255.6	40119.1	43842.3	58268.2	34420.2	21714.7	14536.5	39870.5	22027.6	48594.2	50340.7	34263.2	33894	44067.3	37115.7	41113.2	40291.9	59887.4	32458.5	67058.9	37146.4	29444.2	47276	29818.4	41016.5	62287.5	39933.5	46963.8	58119.9	30425.5	45353.2	34630.7
Q8NFH4	Q8NFH4	NUP37_HUMAN	NUP37	Nucleoporin Nup37	1264.22					5843.9				10943.2			6263.75	16810.3							34408.7	8479.25			5770.83									12388.8			16181.6			21446.8	3972.38		9453.92			22555.2										19825.6		27855.5	18244.3			9745.32				19740.4	31806				16875.8					11803			6367.42		26597.9	34424.7							24934.3	12309.8	22664.9				2545.51	33817.9	13287.7	11089.5	7484.8	7998.86	4636.28	6063.4
Q8NFL0	Q8NFL0	B3GN7_HUMAN	B3GNT7	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"	739.802		414.082	401.886			386.602	476.019	552.804	589.397	245.356	518.409	532.876	447.278	424.404			678.66	265.606			683.219				338.792			642.993	531.419		292.281		581.74			549.476	612.428		867.403	651.733	488.586		298.039		508.115	504.913	397.735			227.272					850.21	355.195			671.973	543.846		634.194	514.268				708.779		454.066	468.624	725.301			693.258	1139.54	246.98	822.05	540.802	492.209	639.503		662.461		430.315	317.989	415.948	449.964	338.119	404.565	1032.92	318.27	385.829	247.541	413.019	308.009		748.63	267.053	610.33	600.939	487.738
Q8NFZ8	Q8NFZ8	CADM4_HUMAN	CADM4	Cell adhesion molecule 4		766.132	3218.4										2491.62			2404.12		1667.02				628.531				851.022			2080.55							1133.67	1238.22	1668.02		2632.82	1055.95	1253.4	3688.76	1270.74		1063.78			1171.95		2230.87		1237.61			1710.34	817.354	2948.29	2180.6	3095.57	3089.08	4799.52		1782.74	3336.54	1879.07		5470.22	2546.28	2984.16	3365.91		2994.56		4359.88		399.734		2353.28	5754.15	5095.27	2027.17	5591.42	4403.42			3613.96	1154.29	1669.96	2061.48	4159.92		2799.07		2466.9			6759.09	672.492		3463.72	
Q8NG31	Q8NG31	KNL1_HUMAN	KNL1	Kinetochore scaffold 1			2214.85	1073.01	6912.09	10045.9		1436.93	10863.5		2619.68		1670.73	1877.34	22049.1	5045.48	4794.34	5987.03	14389.5	8878.76	10909.6	2527.08	7171.77	1635.26		2002.82	2838.05	4625.86	5284.14			2285.08	7154.88	3653.24		17309	4662.01		7158.84	1833.67	2963.49	1607.35		18244	7000.34		4466.75	13999.2	22351.7	3986.04	13159.5	1611.69	6469.24		3196.35		8880.4	4788.67	4080.68	3981.31	4496.7	2497.89		14704.9	11275.1	2810.66	8398.17	3217.26	1723.13			21794.6		8543.89	9609.38	3782.97	1804.85	6818.55	8871.92	6986.97	18639.2		3765.89	16347.4	7038.33	8556.34	17445.3			4607.9	3994.17	8184.43	6782.16		3436.89	4563.03	2474.83	16963.9	3614.36	6133.27	7671.57	8233.89
Q8NGE1	Q8NGE1	OR6C4_HUMAN	OR6C4	Olfactory receptor 6C4	13142.9	8809.75	18870.3	9941.04	9753.61	8332.69	6272.67	16476.3	12189.1	20277.4	13576.3	15289.2	16110.2		8015.45	11565.5	10839.2	11182	12720.7	13589.7	8408.82	11634.4			9838.24	9763.87	11819.6		28146.2	10187.3		19201.5	11106.5	16155.4	31612.5	16239.5	20246.6		17534.7	9940.77	10496.7	11033	40140.1	12922.1	29436.6	12289	27336.9	13859.3	13630.5	12197	11333.9	11862.3	14150.4		14507.7	14867.1	14415	13596.4	11395.9	19581.2	18421.1	12702.3	17660.6	19583.6	11207.7	15909.7	12108.2	11807.6	16566.8	10270.3	11036.8	12114.8	12815	24639.6	12798.7	10814	6839.4	11281.4	13965.6	19233.2	15858.7	16498.9	10918.1	15571.3	9511.72	8049.13	11578.4	17826.6	8540.77	10525.9	13163.6	9511.52	13089.3	13466.8	12013	11187.7	14459.2	14996.9	16912.3	11721.5	16298.1	15070.4
Q8TCA0	Q8TCA0	LRC20_HUMAN	LRRC20	Leucine-rich repeat-containing protein 20	609.733	744.306		496.741	438.3	994.106	410.338	638.998	496.872	2852.16		327.143	531.608	685.016	1658.41	738.974	640.583	832.256	661.01	945.848	748.258	591.87			587.481	610.912	619.66	530.388	631.388			722.293	812.992	661.058	348.201	1482.24	4644.81			787.116	817.829	535.319	394.296	1377.77		541.73		844.229	756.495	358.558		614.152	847.391		1037.63	452.223	334.554		915.902	589.553	821.065	909.838		912.003	378.564	578.644	1512.05	492.647	1323.7	732.373	513.448			865.704					868.2	1568.83		682.699	599.718	456.222	1376.09		615.996		628.035	471.859	639.109	1567.65			354.96	590.334		1216.26	625.561	875.518	882.526	1203.8
Q8TCZ2	Q8TCZ2	C99L2_HUMAN	CD99L2	CD99 antigen-like protein 2	2280.73	4130.38	3918.45	2743.21	2704.82	3798.38	2249.49	4436.4	3341.71	2238.23	1963.36	2335.81	3796.06	3291.12	1717.77	3179.39	1906.54	2778.53	2681.99	2350.51	4381.9	1729.61	2430.86	1722.66	2114.69	2026.86	2563.82	1637.14	3271.55	1826.09		1795.4	1859.04	2159.99	1368.02	3451.51	2544.81	2479.83	4151.76	1690.82	2524.78	2320.44		2410.26	3136.56	2602.23	1880.01	2840.24	2217.73	2753.75	2209.09	2688.34	2535.91		2375.78	2162.36	1757.43	2218.82	2072.08	2659.89	2774.64	2180.44	4080.38	2302.4	3645.77	1829.78	2932.2	2743.12	2711.67	2793.48	2451.43	2800.16	2496.62	2073.55	1826.34	1124	1088.19	2213.72	1075.34	2939.52	3012.32	2315.63	3298.68	2384.55	2091.68	2435.8	2519.76	1987.79	2872.41	2675.61	2682.27	2808.99	3041.51	4322.55	2372.54	2639.71	3489.67	3341.85	2114.87	3102.65	3698.15	2899.35
Q8TD26	Q8TD26	CHD6_HUMAN	CHD6	Chromodomain-helicase-DNA-binding protein 6	3095.59	3275.98	2835.93	2423.98	7349.91	1365.4	3188.29	816.255	1637.24	8141.43	3095.35	4798.57	2342.42	4327.5	2132.75	1001.66	4977.5	1889.97	4045.24	4978.79	4277.02	1985.09	1857.91	6129.46	2065.14	2574.95	2164.85	3507.3	3486.6	1957.08		4071.49	3017.87	3339.6	3928.32	3333.44	5253.68	3787.88	11847.9	2229.6	5861.48	4236.71	2825.1	1808.87	6347.16	3148.36	8964.91	2368.58	1806.24	2800.77	3219.79	2194.93	1370.86		1934.45	2546.77	2630.05	4858.09	3398.62	3312.42	2094.83	3588.9	3543.7	1704.98	2398.71	2609.2	3270.88	4844.33	4766.71	2010.18	2055.27	2587.91	4092.83	4744.25	3341.83	1750.87	3255.17	2749.08	1811.1	3392.78	3130.66	1743.23	2635.37	2963.26	2805.44	4304.52	3289.44	1526.31	694.75	1660.9	3916.83	7627.95	3730.79	11933.3	2766.1	3862.21	4187.56	4309.6	2593.26	4771.75	2727.7	2400.94
Q8TD46	Q8TD46	MO2R1_HUMAN	CD200R1	Cell surface glycoprotein CD200 receptor 1	2085.92	2425.21	2501.37	1994.01	2069.61	1781.88	1931.81	2565.84	3065.37	2615.95	1788.64	1987.66	2259.91	2426.98	1731.91	2035.37	2504	2879	803.582	1916.06	1872.3	1893.26	4631.02	1227.16	1674.18	1918.07	2431.28	2249.41	1385.93	2224.72	8395.35	2809.12	2280.77	2477.1	1894.21	2314.03	1535.38	2115.31	1955.49	1500.01	1647.22	2366.16	1281.53	2969.85		3096.32	2337.91	3539.94	2714.26	2122.03	1603.48	2543.31	1842.43		2367.95	1857.06	2458.26	3403.24	2799.53	1790.47	2198.32	2916.09	1315.05	2130.94	1723.45	2210.03	2322.58	1673.34	1985.85	2950	1789.06	2413.77	1704.97	1654.26	2202.66	1015.35	912.272	2075.52	1247.39	1631.06	1856.96	2742.52	1563.3	2347.83	2153.03	1432.24	2172.48	1932.71	1289.38	3150.3	1881.45	2578.24	2399.07	2058.84	1766.18	2069.79	1716.04	2872.12	2656.52	1869.91	2475	2041.36
Q8TD55	Q8TD55	PKHO2_HUMAN	PLEKHO2	Pleckstrin homology domain-containing family O member 2				1825.08		3576.22			1385.95		1689.71				4332.22			1503.61		3343.14	2449.11	2562.73	909.595		2165.73		969.684	2616.83											3903.25		4147.09								1523.3	782.34			1314.07		3121.88	1880.35			2538.47	2111.57			1605.29	3293.13			2748.86	1149.61	1677.22						690.715	1904.38		1852.79		2168.13	2888.57	3136.26	725.213	2866.41			2976.9		683.235	1555.35		2249.8				1698.33		2325.66	2505.28	1302.37	1771.9	1648.59
Q8TDL5	Q8TDL5	BPIB1_HUMAN	BPIFB1	BPI fold-containing family B member 1	3883.57	5774.44	9388.28	13965.3	9275.72	7874.13	8148.1	10559.6	5418.78	13347.5	16903	14356.8	17188.6	4873.71	7259.09	9097.02	8864.59	15592.3	9237.93	10080	11339.3	17381.3	8916.04	12435.1	7495.51	13017.3	9345.57	27147.3	13103.3	10196.7	17038.1	12914.6	13874.3	11840.2	18106.3	8838.4	21430.4	8724.64	7385.47	17347.9	6655	6148.78	20920.7	5594.33	10563.8	18769.5	3258.18	8222.59	10887.5	13105	3279.24	9029.13	7305.65		9038.37	19123.8	20894.6	5177.42	9974.11	17307.7	7942.92	7559.34	12478.9	16091.8	3591.97	8288.69	24974.5	9168.43	11207.5	13393	3341.58	21149.3	16792.4	12431.9	8126.96	8317.5	4539.12	7053.77	17792.2	12090	8761.21	10547.8	7996.28	6466.91	18174.2	36482.1	11704	16107.3	7833.21	4849.56	6713.24	10995.8	11643.8	8130.32	17216.5	10570	22252.3	4162.78	7610.57	12533.6	11116.8	11841.5
Q8TDQ0	Q8TDQ0	HAVR2_HUMAN	HAVCR2	Hepatitis A virus cellular receptor 2	1782.03		2985.71	1710.93	1631.67	2229.73	2284.67	1631.03	2575.16	1016.92	1591.81	1704.91	2576.61	2201.23	1795.02	1439.6	2160.35	1055.47	2251.87	2194.07	1795.76	1631.79	859.474	2308.55	2192.06	1374.39	2118.58	1476.52	2084.09	1856.62		2283.93	1239.92	2235.91	2484.97	1777.09	2878.59	1288.07	1315.33	2643.64	1943.92	2234.06	1538.26	1912.22	1250.13	1347.15	1348.02	1578.42	1667.98	1115.93		2218.73			1395.82	1552.25	1007.09	1809.82	1210.66	1333.92		1448.19		1213.18	2191.74	1078.8	1321.77	1065.83		1212.41	1237.12	1159.97		1743.09	1800		1173.6		1308.25		1382.48	1358.17	1390.68	1439.92		1309.33	1817.28	1120.7	1814.98	1537.6	2028.16			1473.74	2213.27	1664.26	1420.02	1072.83	1186.01	2279.62	1461.79	1665.53
Q8TDW5	Q8TDW5	SYTL5_HUMAN	SYTL5	Synaptotagmin-like protein 5																																																																																					3687.18							7424.46										
Q8TE56	Q8TE56	ATS17_HUMAN	ADAMTS17	A disintegrin and metalloproteinase with thrombospondin motifs 17	980.509	3240.73	5370.49	7683.3	5261.09	2827.36	24699.8	9025.43	6998.2	8610.93	13401.9	4344.88	4241.02	5688.28	2781.98	6017.64	4825.28	12720.6	8827.96	24787.2	2497.79	5030.89	14349.5	26921.1		21084.5	6056.82	21196.9	29219.2	28097.9		3615.46		6419.3	3845.02	2922.15	2456.65	9125.3		11742.4	1453.4	9701.79	36340.3	3877.03	20658.7	660.864	2910.48			3745.05					2833.03					2633.79		3152.98		3698.97	4309.53	3405.98			2539.96				3900.07				2796.94	1137.69	2691.1				2896.87		2099.45			5115.86	1507.51	1866.24	2496.7	5035.92			2723.15	9437.46	2300.45		5197.97	4239.86	3077.54	
Q8TE73	Q8TE73	DYH5_HUMAN	DNAH5	"Dynein heavy chain 5, axonemal"	8734.6	17660.6	8810.4	9026.88	16425.9	13283.8	10512.4	8566.39	10655.4	19439.9	7287.95	16161.8	15164.1	17125.9	7717.73	16637.8	20324.2	13354.9	16300.8	18032.9	23985.2	13408.1	14611.9	14681	16733.8	14060.2	16497.7	13745	16668	13219.8	48191.6	16780.5	13509.3	13651.4	27374.8	22256.6	10092.9	16501.2	28560	14915.1	8506.69	20619.9	22174	11337.3	38326.6	23072.1	18638.4	19073.9	14551.8	18350.6	10413.3	18439	12277.1	2.45E+06	16494.3	12179.3	16892.4	14224.1	19463.3	16577.7	17625.7	23436	34052.4	19211	16842.5	19681.2	16902.2	27217.2	38595.9	15661.4	19878.9	12983.7	20151.9	17583.2	17595.8	12066.4	9742.95	16294.3	15767	17210	13130.6	11373.8	24290.6	30686.3	16246.5	16941.8	17898.7	15061.9	17060.5	19186.5	21486.9	16807.9	21269.1	43537.2	20620.7	28408.7	20971.1	17786.2	7853.17	12704.7	24331.5	18279.3
Q8TEA8	Q8TEA8	DTD1_HUMAN	DTD1	D-aminoacyl-tRNA deacylase 1	79.863	1434.48	269.495	677.531	658.304	2252.1	408.76	363.912	289.664		694.494	98.0991	532.57	779.516	4090.73	581.038	9499.19	2915.93	1118.56	2408.94	1929.91	434.809	362.159	935.339	2217.54	499.812	719.507	2211.08	1164.39	226.524		455.705	329.83	231.37		5649.9	2698.38	640.927	337.164	380.523	337.059	610.354	1066.34	3241.91	590.529	651.85	620.625	1416.29	1382.43	581.831	164.804	328.432	2505.77	10655.2	3552.33	762.554	283.429		1741.56	632.134	2830.16	166.786	1961.03	4046.59	969.469	260.012	4633.23	458.133	2501.3	637.539	701.306		1078.89	469.172	213.161	479.93	98.9778	2025.51	190.122	4480.9	1416.42	680.255	1095.56	143.3	931.223	208.633	1484		781.722	1788.77	493.07	6937.26	343.695		309.278	646.417	408.409	1659.2	1035.63	1205.03	1246.36	1487.79
Q8TED1	Q8TED1	GPX8_HUMAN	GPX8	Probable glutathione peroxidase 8	25943		16365.2	17351.5	193943	58634	142944	39873.5	18935.1	96895.6	72488.2	108608	113815	65258.7	22656.4	44230.2	15770.5	38577	127310	45901.3	53363.1	157712	85767.2	50831.1	64575.4	157774	152731	97996.4	152016	148079		155966	84938.8	64564.7	65137.3	21837.1	44023.5	40646.9	43409.7	82395.9	61836.5	158862	14704.9	46425.6	113876	178764	61328.8	63717.1	68706.2	60319.6	3592.11	96356.6	8726.33		33968.8	67245.5	66968.5	68535.1	26346.2	88408.8	30367.9	77101.8	43520.3	50394	41985.5	62621.2	24145.4	80631.6	75308.1	75189.6	90530.8	83084.3	51111.7	76973.5	27479.4	4977.33	10168.1	15304.1	3265.28	29626.8	46149.5	44372.3	31038.2	22936.6	22764.2	16830.7	14204.8	58152.9	56638.2	53610.2	42585.6	25647	19156.6	30874.2	90015.2	78820.8	63153.3	43304.1	5601.27	106699	70914.2	47363.7
Q8TF09	Q8TF09	DLRB2_HUMAN	DYNLRB2	Dynein light chain roadblock-type 2	12065	6296.74	11560.9	10201.3	8212.69	11610.7	11020.2	10998.4	10395.3	5522.63	6775.36	2930	16597.9	7976.58	5400.45	12229.8	9130.28	10046.4	27701.3	13766.9	6127.94	10231	8379.3	5954.12	10585.1	7479.96	10109.2	6682.97	6999.13	7346.78		6060.01	9817.37	9104	2651.46	5324.26	6886.82	6527.15		6021.31	9551.81	2130.25	1415.55	12308.3	2202.45	5332.61	5651.84	8042.03	3694.78	6767.51	11354.4	6966.39	4058.32		5278.05	7801.27	3596.12	4347.39	3709.73	4841.24	8109.51	3943.13	6965.33	4376.88	3041.92	5248.68	5020.78	3448.15	1481.93	5712.22	3192.12	3421.92	1652.35	3739.72	6882.88	8224.79	6469.17	9013.36	814.134	4856.67	4843.58	4721.68	6515.91	3632.76	5188.41	4060.19	5491.29		7384.59	3427.97	5094.1	1637.62	2227.34		2564.42		2604.11	3709.44	10507.5	5417.05	2268.28	4630.66
Q8TF42	Q8TF42	UBS3B_HUMAN	UBASH3B	Ubiquitin-associated and SH3 domain-containing protein B		294.113				485.455		153.478																	309.403			286.714																					178.333				389.507		797.936										127.198		349.167														336.71		155.401				216.707			283.925		664.866			85.2137			196.969				
Q8TF61	Q8TF61	FBX41_HUMAN	FBXO41	F-box only protein 41	17586.2	10961	19443.8		16242.1	9024.53			10476.1		3949.46	11094	18255.5	6874.87	3563.76			12440.6	16036	7623.71	7400.47	4429.17	6186.7	7618.67	5443.86	6990.97	16547.6	4297.02				20688.6		15569.4	9484.58	18014.5	13151.6	11075.1			18294.1			11814.2		7268.46	5965.2		7855.46	9269.87	21617.8	4474.73	4668.29		11667	10033.7	8618.86	8057.18	19114.3		15148.2	14927.5		6034.06	20260.6	7327.88	8596.6		8368.36	20402		30036.6	10947.6	59579.3		8662.29		5730.66	15547.1		11202.3	6335.81			12246.4			9769.69	13182	17220	23676.4				11748.6	10351.7	17163.6	21086.4	12161.5	12662.9	17684.9	
Q8TF64	Q8TF64	GIPC3_HUMAN	GIPC3	PDZ domain-containing protein GIPC3	676.405	1774.23	1817.93	812.425	583.667	833.563		1133.23	456.453	332.377	1352.02	2132.96	940.583			2330.25	663.24	859.522	1623.05	750.674	809.438	1409.73	1790.75		844.328	754.15	863.482	937.606	1274.25	1832.13		1152.66		725.129		661.744	770.296	781.829	743.083	1565.68	837.888	1043.89	3178.68	1805.15	828.733	1391.44	458.509	942.554	1967.53	1270.67	1706.67	1005.58	2939.61		1701.83	1558.27	2091.03	1076.99	1784.43	1453.59	2533.18	1670.45	1965.39	1378.2	2576.16	1245.94	1516.21	1110.46	1006.46	1371.52	1760.29	1269.39	1368.2	1994.48	284.615	956.58	1335.64	948.772	2848.03	1819.05	781.163	830.899	3618.73	1871.66	2787.62	1799.89	1451.58	4076.8	949.531	1095.8	3066.98	2661.19	2505.37	2367.04	1554.35	2328.34	2001.82	2942.62	920.163	574.703	1878.9	1913.75
Q8TF72	Q8TF72	SHRM3_HUMAN	SHROOM3	Protein Shroom3	103922	84354.4	55704.3	72212.9	66012	102312	87645.8	86323.9	91115.7	101584	90393.1	90835.9	93098.4	68049.1	47188.9	110632	63839.8	102511	96174.2	103551	88478.6	59797.7	110059	67275.5	79614.5	94371.3	85828.8	74335	95788.8	98205.3	100256	76164.5	70761.2	79146.5	92819	81233	68517.3	81771.5	80857.4	64918.1	76903.3	113233	55371	63328.3	75179.6	54241.1	38858.4	153460	112293	161736	116910	80777.1	71062	2.07E+06	134823	107604	124730	145720	141622	155174	125924	170821	149744	125469	118410	131689	51391.7	151104	158829	98553.3	144470	123001	145570	34082.8	104015	78281.3	48864.3	93575.2	104439	108928	107735	101385	137661	104349	100796	105414	95837.8	105295	129342	104707	125197	104318	116644	158467	133554	121140	114071	104986	59852.3	86473.6	71766.6	97097.1
Q8WUH6	Q8WUH6	TM263_HUMAN	TMEM263	Transmembrane protein 263	222.253	2084.91		632.96	332.885	3804.78		787.744	844.77		386.337				4316.84	907.513	1687.45	1119.88	521.195	2671.89	2274.43	371.461		470.017	2463.82	744.356	1339.51	1672.92	1004.42							1518.19	1682.99	908.1	743.695	650.522	643.53	557.142		1547.63				1289.26	2156.86	1652.4		437.609	2858.5		4229.13	728.19			1990.74	823.893	3168.26		1906.53	4251.12	966.367		4629.05	492.011	1619.53	617.425	1455.67		1384.02	365.185				934.389		1585.77	1363.6		1326.39		1654.95	646.29	2304.59		620.59	2159.82	784.708	6042.43			798.969	1344.08	721.592	1272.21	804.74	1263.83	1162.74	1016.39
Q8WVB6	Q8WVB6	CTF18_HUMAN	CHTF18	Chromosome transmission fidelity protein 18 homolog	331.422						820.832		764.018			955.565				813.962												1579.57	1234.83	2194.29				759.834	3201.27					371.773	1277.9								910.385	973.293	1448.06		1941.85			1192.96	1132.07				1257.09			1789.74	1200.63	2350.47	435.566		1354.16							1761.32	219.123	941.777										2388.84			649.796	516.091							575.42			
Q8WVV4	Q8WVV4	POF1B_HUMAN	POF1B	Protein POF1B	2248.04		1328.08	2575.13	661.965	730.68	3266.01	2897.41	1292.15	4333.04	1236.29	792.428	471.969	897.173	1609.08				536.368						465.58		1104.11	1229.63						1798.46	1355.18		1184.51								1872						267.389		319.872								1176.88					783.094	731.346	1164.13			1231.87		485.286		767.949	5880.3									3151.52			3522.17		373.484					1007.87	473.649	687.999					
Q8WW12	Q8WW12	PCNP_HUMAN	PCNP	PEST proteolytic signal-containing nuclear protein	775.116	4513.35	1460.28	1871.31	1732.66	8598.67	1098.49	2021.71	2263.08	4582.68	918.682	715.003	2471.5	479.064	9781.61	1996.39	15519.3	4477.91	2375.44	6750.72	6079.36	1636.5	1729.72	2879.95	5023.4	2151.98	2631.61	4268.74	3292.67	712.211		1405.53	1651.03		1045.94	11122.9	9023.07	1555.9	1388.3	1512.52	3765.97		2203.17	9100.71		670.416		4019.18	4815.31	1947.23	1056.01	1589.01	9253.31		8083.53	1602.29	1152.82	1224.69	6575.88	2707.43	8017.15	1953.31	6782.28	8276.51	2529.95	1644.48	11039.4	1442.94	6063.1	1588.38	2693.67	1223.24	3784.2		707.51	1664.18	388.037	3488.5	946.862	11752.9	3019.65	1731.67	1802.67		3498.62	1975.13	4796.65	826.344	1932.69	4048.13	2191.79	14854.9		1521.68	1882.82	3247.5	1995.78	4944.55	3393.84	3741.41	3702.05	4005.17
